Jur_id,Jur_desc
1,Poder Legislativo Nacional
5,Poder Judicial de la Nación
10,Ministerio Público
20,Presidencia de la Nación
25,Jefatura de Gabinete de Ministros
30,Ministerio del Interior
35,Ministerio de Relaciones Exteriores, Comercio Internacional y Culto
40,Ministerio de Justicia y Derechos Humanos
41,Ministerio de Seguridad
45,Ministerio de Defensa
50,Ministerio de Economía
51,Ministerio de Desarrollo Productivo
52,Ministerio de Agricultura, Ganadería y Pesca
53,Ministerio de Turismo y Deportes
57,Ministerio de Transporte
64,Ministerio de Obras Públicas
65,Ministerio de Desarrollo Territorial y Hábitat
70,Ministerio de Educación
71,Ministerio de Ciencia, Tecnología e Innovación
72,Ministerio de Cultura
75,Ministerio de Trabajo, Empleo y Seguridad Social
80,Ministerio de Salud
81,Ministerio de Ambiente y Desarrollo Sostenible
85,Ministerio de Desarrollo Social
86,Ministerio de las Mujeres, Géneros y Diversidad
90,Servicio de la Deuda Pública
91,Obligaciones a Cargo del Tesoro
